CL_NM,TRRSRT_NM,ADDR,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE
기타,오늘은 녹차 족욕,제주 서귀포시 표선면 중산간동로 4772,647875999,1,9000,20221211
레저관광,우도잠수함,제주 서귀포시 성산읍 성산등용로 112-7,647842333,4,138000,20221212
기타,제주꺼우다,제주 제주시 애월읍 애월로 29,647992123,2,30000,20221212
레저관광,송악카트체험장,제주 서귀포시 대정읍 송악관광로 404,647941717,4,35600,20221212
기타,환상의짜장,제주 서귀포시 대정읍 마라로 45,1086643259,1,7000,20221212
자연,산방산,제주 서귀포시 안덕면 사계리 산16,647942940,4,35600,20221212
테마파크,쇠소깍산물관광농원,제주 서귀포시 남원읍 하례로 90,647679953,3,10800,20221213
키즈,알제이 마을체험,제주 제주시 한경면 고산로 13-4 2층,647721320,1,30000,20221214
기타,중문마사지,제주 서귀포시 중문관광로 348,647389039,1,100000,20221214
공연전시,유리박물관,제주 서귀포시 중산간서로 1403,647926262,2,16000,20221215
레저관광,중문레져UTV,제주 서귀포시 대포동 산39-5,647398258,2,126000,20221215
기타,제주핫플버스, 제주특별자치도 제주시 일주동로174 2층,647992930,2,59600,20221216
레저관광,(주)한국오토모빌얼라이언스,제주 제주시 애월읍 산록서로 18,647484026,2,57000,20221216
키즈,돈키쥬쥬,제주 제주시 은수길 65,647555920,2,12000,20221218
레저관광,김녕요트투어,제주 제주시 구좌읍 구좌해안로 229-16,647825271,1,48000,20221220
기타,카파이풋 족욕,제주 서귀포시 안덕면 사계로114번길 54-64,647920202,8,84590,20221220
기타,낙지마당,제주 서귀포시 신중로 73 1층,647381524,1,39000,20221220
기타,삼성혈,제주 제주시 삼성로 22,647223315,2,7200,20221221
기타,이니스프리 제주하우스,제주 서귀포시 안덕면 신화역사로 23,647945351,1,39580,20221225
공연전시,미켈란젤로 인 메타버스,"제주 제주시 관덕로 26 텐저린 맨션 B1,2",647591235,1,27000,20221225
테마파크,제주돌마을공원,제주 제주시 한림읍 금능남로 421,647724007,2,11000,20221227
테마파크,노리매테마파크,제주 서귀포시 대정읍 중산간서로 2260-15,647928211,2,12000,20221228
테마파크,제주돌문화공원,제주 제주시 조천읍 남조로 2023,647107731,2,9000,20221230
